,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,y,x,spatial_ref,time,cai,ndvi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,stumpf,ln_bg
557,8,0.0495,0.0545,0.0699,0.065299995,0.11632186,1.1701584e-06,2.4919222e-05,0.0030999999,0.0546,0.063599996,0.051799998,0.0491,0.0656,0.058199998,0.0552,0.056399997,-1058555.0,-302755.0,3832,2024-01-01,-0.031734306,-0.048076913,0.13763063,0.11528607,-0.09015023,1.0704441,1.2825688,0.8505155,0.032830518,2.6895041,0.068073615
558,8,0.047399998,0.0528,0.067099996,0.062299997,0.12127004,1.3483763e-06,2.6536389e-05,0.0030999999,0.053099997,0.0646,0.0497,0.047199998,0.0655,0.0557,0.052899998,0.0546,-1058595.0,-302715.0,3832,2024-01-01,-0.012066345,-0.053892236,0.13582498,0.11249998,-0.0825369,1.0770465,1.2708333,0.8509874,0.026728116,2.6110215,0.07422259
559,8,0.0521,0.0557,0.071899995,0.0668,0.12510015,7.7338217e-07,2.96445e-05,0.0029,0.0556,0.0585,0.051999997,0.0488,0.0647,0.0581,0.055499997,0.057,-1058555.0,-302655.0,3832,2024-01-01,-0.052708607,-0.03339519,0.123633295,0.12457913,-0.090612225,1.0763472,1.2908437,0.89672977,0.021089626,2.6720679,0.07357311
560,8,0.048,0.052899998,0.067099996,0.062299997,0.11815195,1.0282278e-06,2.7975022e-05,0.0029,0.0519,0.0583,0.048899997,0.045599997,0.062299997,0.055,0.0524,0.0536,-1058645.0,-302675.0,3832,2024-01-01,-0.03709428,-0.04856291,0.12964639,0.120503604,-0.08159722,1.0770465,1.268431,0.8727273,0.019462485,2.6110215,0.07422259
561,8,0.0504,0.0534,0.069299996,0.064899996,0.118879706,1.2097299e-06,2.7449265e-05,0.0029,0.051799998,0.0598,0.049,0.045199998,0.0625,0.0554,0.0521,0.0535,-1058595.0,-302615.0,3832,2024-01-01,-0.051593293,-0.02890172,0.12575886,0.13959612,-0.09721047,1.0677966,1.2977527,0.9097473,0.018382357,2.7016957,0.06559726
562,8,0.0482,0.0517,0.067,0.0629,0.119251095,1.0022103e-06,2.9204528e-05,0.0029,0.051099997,0.0585,0.048299998,0.045199998,0.0625,0.0543,0.0515,0.052699998,-1058685.0,-302645.0,3832,2024-01-01,-0.034749046,-0.035035033,0.13231322,0.13129498,-0.09773123,1.0651829,1.2959381,0.88766116,0.024528295,2.6931865,0.06314655
563,8,0.0488,0.0521,0.0685,0.0634,0.11034147,1.2150525e-06,2.688176e-05,0.0029,0.0508,0.060099997,0.0484,0.0449,0.063,0.054899998,0.051599998,0.0528,-1058625.0,-302565.0,3832,2024-01-01,-0.041825064,-0.03270565,0.13012479,0.13416816,-0.0978355,1.0804416,1.3147793,0.8888889,0.026168216,2.605759,0.07736984
564,8,0.0497,0.053999998,0.069299996,0.0639,0.1169448,1.0342776e-06,2.8048458e-05,0.0028,0.053299997,0.056399997,0.0502,0.047,0.0637,0.056599997,0.0536,0.055299997,-1058725.0,-302585.0,3832,2024-01-01,-0.042105254,-0.04146575,0.12500001,0.12007012,-0.083969496,1.084507,1.2833333,0.87809193,0.023508132,2.5900826,0.0811255
565,8,0.050499998,0.054399997,0.069699995,0.0648,0.12187026,1.122567e-06,2.8097738e-05,0.003,0.0552,0.063999996,0.0519,0.0488,0.0657,0.0579,0.054399997,0.0559,-1058695.0,-302525.0,3832,2024-01-01,-0.029542048,-0.037178256,0.12402432,0.11053986,-0.08724836,1.0756172,1.28125,0.8721934,0.03116655,2.6510544,0.07289463
566,8,0.052899998,0.057499997,0.0748,0.0698,0.12165892,1.1398434e-06,2.6853722e-05,0.0030999999,0.0576,0.0665,0.053799998,0.050899997,0.068799995,0.0607,0.057699997,0.058399998,-1058355.0,-302665.0,3832,2024-01-01,-0.041782767,-0.041666668,0.13773431,0.12944984,-0.096622154,1.0716333,1.3008696,0.8714991,0.027072776,2.73987,0.069183975
567,8,0.053299997,0.059299998,0.074099995,0.0699,0.12651888,9.427905e-07,2.7191818e-05,0.003,0.0587,0.0648,0.0545,0.051,0.069,0.061499998,0.059,0.0598,-1058395.0,-302625.0,3832,2024-01-01,-0.035639394,-0.05328598,0.13474028,0.12379421,-0.08204335,1.0600858,1.2495784,0.8666667,0.018211922,2.8239603,0.058349825
568,8,0.051999997,0.0561,0.072399996,0.067999996,0.12563907,9.801447e-07,2.6388852e-05,0.003,0.0563,0.0642,0.052899998,0.0492,0.0682,0.0587,0.055499997,0.057499997,-1058435.0,-302605.0,3832,2024-01-01,-0.029871954,-0.037927866,0.13333334,0.12489661,-0.09589038,1.0647058,1.2905525,0.88586026,0.022648077,2.7638476,0.062698565
